,date,avg_equity,avg_debt,avg_hybrid,index_nrml
0,2018-08-31,-0.29,-0.01,0.09,0.0
1,2018-09-03,-1.06,0.01,-0.41,-0.84
2,2018-09-04,-2.36,-0.03,-1.19,-1.37
3,2018-09-05,-2.87,-0.07,-1.48,-1.74
4,2018-09-06,-2.38,-0.06,-1.22,-1.23
5,2018-09-07,-1.72,-0.04,-0.83,-0.78
6,2018-09-10,-2.98,-0.15,-1.62,-2.08
7,2018-09-11,-3.89,-0.19,-2.32,-3.36
8,2018-09-12,-3.4,-0.19,-2.09,-2.66
9,2018-09-14,-2.37,-0.11,-1.39,-1.42
10,2018-09-17,-3.12,-0.06,-1.95,-2.59
11,2018-09-18,-3.95,-0.01,-2.5,-3.44
12,2018-09-19,-4.52,0.04,-2.86,-3.82
13,2018-09-21,-5.21,0.04,-3.55,-4.6
14,2018-09-24,-6.86,0.05,-4.73,-6.11
15,2018-09-25,-6.17,0.03,-4.44,-5.25
16,2018-09-26,-6.0,0.03,-4.46,-5.37
17,2018-09-27,-7.04,0.09,-4.95,-6.02
18,2018-09-28,-7.67,0.14,-5.39,-6.42
19,2018-10-01,-7.3,0.23,-5.24,-5.75
20,2018-10-03,-8.04,0.22,-5.86,-7.04
21,2018-10-04,-9.68,0.15,-7.04,-9.26
22,2018-10-05,-11.4,0.24,-8.14,-11.68
23,2018-10-08,-12.01,0.33,-8.26,-11.41
24,2018-10-09,-12.15,0.26,-8.65,-11.81
25,2018-10-10,-10.13,0.33,-7.57,-10.45
26,2018-10-11,-11.68,0.38,-8.56,-12.38
27,2018-10-12,-10.25,0.42,-7.38,-10.34
28,2018-10-15,-9.79,0.52,-7.12,-10.0
29,2018-10-16,-9.23,0.58,-6.52,-9.38
30,2018-10-17,-10.29,0.56,-7.36,-10.51
31,2018-10-19,-11.22,0.63,-8.04,-11.79
32,2018-10-22,-11.71,0.69,-8.48,-12.29
33,2018-10-23,-12.33,0.74,-9.0,-13.13
34,2018-10-24,-11.67,0.8,-8.7,-12.46
35,2018-10-25,-12.35,0.83,-9.19,-13.32
36,2018-10-26,-12.81,0.84,-9.45,-14.13
37,2018-10-29,-10.83,1.0,-8.35,-12.24
38,2018-10-30,-10.29,0.97,-8.36,-12.69
39,2018-10-31,-8.99,0.96,-7.38,-11.08
40,2018-11-01,-8.62,1.07,-7.27,-11.13
41,2018-11-02,-8.21,1.17,-6.45,-9.65
42,2018-11-05,-8.42,1.17,-6.46,-9.9
43,2018-11-06,-8.83,1.23,-6.55,-9.85
